Section,Learning Objective,Pull Ups,DA Certificate,Born in US,Reaction Time,Work Hours per Week,Zipcode,Programming Experience,Top 3 Movie Genres,Personality,Top 2 Work Times,Data Science Work Goal,Top 2 Tutoring Days,Top 2 Tutoring Hours,Tutoring Environment,Sequence Length Memory,What approximate percentage of your life have you lived in San Francisco,COVID ,Statistics Experience,Tatoos,Vision Support,Full Time Student,Course Preperation Feeling,Bachelor Degree,Registered to Vote,First Semester in College,Degree,Music Streaming,Recommend MATH 108,Age,DS Degree,Height
70949,5,2,2,,300,15,94112,8,"Comedies, Romantic, Sci-fi & Fantasy",2,"6 pm - 10 pm, 10 pm - 2 am",2,"Tuesday, Thursday","6 am - 10 am, 6 pm - 10 pm",In person,10,2,0,1,0,1,0,8,0,Yes,0,Computer Science,Spotify,1,45,2,73
70949,3,0,1,1,272,12,99999,1,"Anime, Comedies, Dramas",1,"10 am - 2 pm, 6 pm - 10 pm",1,"Monday, Friday","10 am - 2 pm, 2 pm - 6 pm",In person,9,5,0,1,0,1,0,1,1,Yes,0,Continuing Education,Spotify,1,27,0,67
70949,3,1,0,0,257,2,99999,1,"Action & Adventure, Anime, Romantic",1,"10 am - 2 pm, 6 pm - 10 pm",0,"Tuesday, Thursday","10 am - 2 pm, 2 pm - 6 pm",Virtually,14,5,999,4,0,1,1,4,0,Yes,0,Psychology GRAD,YouTube Music,1,20,0,63
70950,4,1,2,1,308,0,94115,2,"Documentaries, Dramas, Thrillers",2,6 pm - 10 pm,2,"Monday, Tuesday",2 pm - 6 pm,In person,9,2,0,4,0,1,1,3,1,Yes,0,Continuing Education,Amazon Music,1,48,0,63
70950,3,1,0,1,374,40,94103,2,"Comedies, Documentaries, Sci-fi & Fantasy",2,10 am - 2 pm,2,"Friday, Sunday",6 pm - 10 pm,Virtually,13,1,1,8,0,1,0,5,1,Yes,0,Continuing Education,Spotify,1,28,0,63
70949,4,2,0,1,290,40,94107,6,"Horror, Sci-fi & Fantasy, Thrillers",2,"6 am - 10 am, 6 pm - 10 pm",1,"Tuesday, Thursday",I don't want tutoring support.,I don't want tutoring support,9,2,3,6,0,0,1,10,1,Yes,0,Continuing Education,Spotify,1,35,0,71
70950,4,3,2,1,263,48,94110,1,"Action & Adventure, Documentaries, Sci-fi & Fantasy",2,6 pm - 10 pm,2,"Monday, Friday","2 pm - 6 pm, 6 pm - 10 pm",Virtually,7,1,1,4,0,1,0,3,1,No,1,Computer Science,Spotify,1,30,2,62
70949,4,2,2,0,250,45,94107,6,"Action & Adventure, Sci-fi & Fantasy, Thrillers",2,"2 pm - 6 pm, 6 pm - 10 pm",1,"Monday, Wednesday",I don't want tutoring support.,I don't want tutoring support,11,1,0,5,0,1,1,7,1,Unknown,0,Computer Science,YouTube Music,1,999,2,63
70950,3,6,0,1,319,40,94536,5,"Dramas, Sci-fi & Fantasy, Thrillers",0,"6 am - 10 am, 10 pm - 2 am",2,"Thursday, Saturday",2 pm - 6 pm,Virtually,10,2,1,1,0,1,0,2,0,Yes,0,Computer Networking and Information Technology,Spotify,0,40,0,69
70950,3,25,1,0,225,60,94129,3,"Action & Adventure, Documentaries, Sci-fi & Fantasy",1,10 pm - 2 am,1,"Monday, Tuesday",2 pm - 6 pm,Virtually,9,1,0,7,1,1,0,7,0,Ineligible,0,Business,Apple Music,1,999,1,67
70949,5,0,0,1,264,0,94122,4,"Action & Adventure, Dramas, Sci-fi & Fantasy",1,"6 pm - 10 pm, 10 pm - 2 am",2,"Monday, Friday","10 am - 2 pm, 2 pm - 6 pm",Virtually,12,5,0,1,0,0,1,9,0,Yes,0,Mathematics,Spotify,1,19,0,62
70949,3,1,0,0,10,30,94122,1,"Classic, Dramas, Horror",2,2 pm - 6 pm,1,"Tuesday, Thursday",10 am - 2 pm,In person,9,1,1,2,0,1,1,1,1,Ineligible,0,Communications Studies,Spotify,1,28,0,63
70949,1,0,1,0,4625,0,94109,1,"Anime, Comedies, Dramas",2,"10 pm - 2 am, 2 am - 6 am",1,"Tuesday, Wednesday","10 am - 2 pm, 2 pm - 6 pm",Virtually,2,4,0,1,0,1,0,1,0,Yes,0,Continuing Education,I don't use streaming services,1,999,0,67
70949,5,15,0,0,281,0,94112,4,"Documentaries, Sci-fi & Fantasy, Thrillers",1,"10 am - 2 pm, 6 pm - 10 pm",1,"Monday, Wednesday",I don't want tutoring support.,I don't want tutoring support,8,1,1,2,1,0,1,7,0,Yes,1,Data Science,Spotify,1,27,0,71
70950,5,10,2,1,203,40,94114,4,"Action & Adventure, Horror, Sci-fi & Fantasy",2,6 pm - 10 pm,1,"Monday, Wednesday",2 am - 6 am,In person,14,2,1,4,0,0,0,5,0,Yes,0,Anthropology ,Spotify,1,24,2,68
70949,4,0,2,1,281,14,94110,5,"Action & Adventure, Children & Family, Sci-fi & Fantasy",1,2 pm - 6 pm,2,"Tuesday, Thursday","10 am - 2 pm, 2 pm - 6 pm",In person,8,3,0,5,0,1,1,7,1,Yes,0,Continuing Education,Amazon Music,1,47,2,70
70950,5,2,0,1,285,6,94531,6,"Classic, Comedies, Dramas",2,6 pm - 10 pm,1,"Tuesday, Thursday",I don't want tutoring support.,I don't want tutoring support,11,1,0,10,0,0,0,9,1,Yes,0,Continuing Education,Amazon Music,1,41,0,71
70950,4,,0,1,394,32,99999,10,"Classic, Documentaries, Sci-fi & Fantasy",0,6 am - 10 am,1,"Tuesday, Thursday",,I don't want tutoring support,16,4,1,1,0,1,0,10,1,Yes,0,Computer Science GRAD,Apple Music,1,999,0,69
70949,5,5,0,1,598,0,94131,10,"Classic, Comedies, Thrillers",2,2 am - 6 am,0,"Monday, Wednesday",2 am - 6 am,In person,3,5,0,1,0,1,0,10,1,Yes,0,Continuing Education,I don't use streaming services,1,73,0,71
70949,3,1,1,0,83,40,94127,1,"Action & Adventure, Children & Family, Dramas",2,10 am - 2 pm,1,"Tuesday, Thursday",6 pm - 10 pm,In person,10,5,1,1,1,1,0,1,0,Yes,0,Continuing Education,Spotify,1,46,1,62
70949,4,1,2,0,219,0,94107,5,"Action & Adventure, Sci-fi & Fantasy, Thrillers",2,"2 pm - 6 pm, 6 pm - 10 pm",1,"Monday, Wednesday","10 am - 2 pm, 6 pm - 10 pm",Virtually,11,1,0,1,0,1,1,6,1,Ineligible,0,Computer Science,YouTube Music,1,999,2,63
70950,4,4,2,1,261,40,94118,4,"Anime, Comedies, Documentaries",0,"6 pm - 10 pm, 10 pm - 2 am",2,"Monday, Sunday","6 am - 10 am, 6 pm - 10 pm",Virtually,10,1,3,7,1,1,0,4,1,Yes,0,Biological Sciences,Spotify,1,24,0,69
70950,4,2,2,1,221,40,99999,3,"Comedies, Documentaries, Romantic",2,"6 pm - 10 pm, 10 pm - 2 am",2,"Saturday, Sunday","6 pm - 10 pm, 10 pm - 2 am",Virtually,5,2,1,4,0,0,0,3,1,Yes,0,Continuing Education,Spotify,1,26,0,60
70949,3,0,1,0,469,40,94131,2,"Classic, Comedies, Sci-fi & Fantasy",2,6 am - 10 am,1,"Wednesday, Friday","2 pm - 6 pm, 6 pm - 10 pm",In person,10,4,1,8,0,1,0,2,1,Yes,0,Continuing Education,YouTube Music,1,34,1,5
70949,3,3,2,1,319,30,94103,6,"Action & Adventure, Sci-fi & Fantasy, Thrillers",0,"6 am - 10 am, 10 pm - 2 am",0,"Friday, Sunday","6 pm - 10 pm, 10 pm - 2 am",In person,6,3,4,8,0,1,0,4,1,Yes,0,Spanish,Spotify,1,54,2,66
70950,3,0,0,0,276,40,94608,1,"Children & Family, Documentaries, Sci-fi & Fantasy",0,"6 am - 10 am, 6 pm - 10 pm",2,"Monday, Sunday","6 am - 10 am, 6 pm - 10 pm",Virtually,11,1,1,2,0,1,1,1,0,Yes,0,Psychology,Spotify,1,21,0,66
70949,4,0,1,1,302,40,94121,3,"Action & Adventure, Comedies, Sci-fi & Fantasy",2,6 pm - 10 pm,2,"Wednesday, Thursday",10 am - 2 pm,In person,10,3,0,7,0,0,0,6,1,Yes,1,Continuing Education,Apple Music,1,42,0,68
70949,3,10,1,0,259,20,94112,3,"Action & Adventure, Sci-fi & Fantasy, Sports",1,"2 pm - 6 pm, 6 pm - 10 pm",2,"Friday, Saturday","10 am - 2 pm, 6 pm - 10 pm",In person,11,4,1,4,0,0,1,1,0,Ineligible,0,Computer Networking and Information Technology,Spotify,1,23,2,68
70950,4,3,0,0,336,15,94015,5,"Action & Adventure, Classic, Romantic",0,"6 pm - 10 pm, 10 pm - 2 am",1,"Tuesday, Thursday",2 pm - 6 pm,In person,7,2,0,7,0,1,1,7,0,Ineligible,1,Computer Science GRAD,Apple Music,1,17,1,67
70950,5,2,0,0,367,40,94502,7,"Comedies, Music, Romantic",1,"10 am - 2 pm, 2 pm - 6 pm",1,"Thursday, Saturday","2 pm - 6 pm, 6 pm - 10 pm",Virtually,10,1,999,7,0,1,1,6,1,No,0,Continuing Education GRAD,Spotify,1,999,1,64
70950,4,4,0,1,354,38,94110,2,"Classic, Comedies, Sci-fi & Fantasy",1,6 pm - 10 pm,0,"Tuesday, Thursday",2 pm - 6 pm,In person,8,4,1,9,0,1,0,7,1,Yes,0,Continuing Education,Tidal,1,58,0,67
70949,3,3,0,1,322,0,99999,1,"Anime, Comedies, Dramas",2,2 pm - 6 pm,0,"Tuesday, Thursday","2 pm - 6 pm, 6 pm - 10 pm",In person,16,5,1,5,1,0,1,3,0,Unknown,0,Psychology,Apple Music,1,19,0,64
70949,3,0,2,1,304,36,94115,2,"Documentaries, Horror, Romantic",1,"6 am - 10 am, 10 am - 2 pm",1,"Monday, Friday",2 pm - 6 pm,In person,9,4,1,6,1,1,1,1,0,Yes,0,Mathematics,Apple Music,1,19,2,60
70949,4,10,2,1,192,15,94127,7,"Action & Adventure, Comedies, Sci-fi & Fantasy",2,"10 am - 2 pm, 2 pm - 6 pm",2,"Tuesday, Thursday","10 am - 2 pm, 2 pm - 6 pm",In person,13,5,1,1,0,1,1,7,0,Yes,0,Data Science,Spotify,1,19,2,68
70950,5,15,2,1,152,0,99999,3,"Documentaries, Dramas, Thrillers",2,10 pm - 2 am,2,"Wednesday, Friday",2 pm - 6 pm,Virtually,6,1,2,1,1,0,1,5,0,Yes,0,Computer Science,Spotify,1,24,2,70
70949,3,5,2,0,350,40,94105,10,"Comedies, Documentaries, Horror",1,10 pm - 2 am,1,"Tuesday, Thursday",I don't want tutoring support.,I don't want tutoring support,12,2,1,6,0,1,1,3,1,Ineligible,0,Philosophy,I don't use streaming services,1,999,2,67
70950,4,1,1,0,616,40,94608,1,"Children & Family, Documentaries, Romantic",2,6 pm - 10 pm,1,"Monday, Thursday",6 pm - 10 pm,Virtually,14,1,1,3,0,1,1,2,1,Ineligible,1,Continuing Education,Spotify,1,28,2,65
70949,3,2,1,0,361,30,94105,4,"Anime, Horror, Sci-fi & Fantasy",1,"10 am - 2 pm, 6 pm - 10 pm",0,"Monday, Wednesday",10 am - 2 pm,In person,6,4,0,1,0,1,0,1,0,Ineligible,0,a,Spotify,1,29,0,511
70950,4,25,0,1,266,0,94025,6,"Classic, Documentaries, Sci-fi & Fantasy",1,"6 am - 10 am, 10 pm - 2 am",2,"Tuesday, Friday","10 am - 2 pm, 2 pm - 6 pm",Virtually,9,2,1,4,0,0,0,5,0,Yes,0,Physics,Spotify,1,21,0,75
70949,4,2,1,1,449,0,94102,1,"Action & Adventure, Dramas, Sci-fi & Fantasy",2,"6 am - 10 am, 6 pm - 10 pm",1,"Tuesday, Thursday",10 am - 2 pm,In person,7,5,1,8,0,1,1,1,0,No,1,Continuing Education,Spotify,1,17,2,61
70949,5,15,0,1,225,,99999,1,"Action & Adventure, Comedies, Horror",2,10 am - 2 pm,1,"Tuesday, Wednesday",I don't want tutoring support.,Virtually,9,1,1,5,1,0,1,8,1,Yes,0,Computer Science,Spotify,1,28,0,72
70950,4,0,1,0,223,22,94108,6,"Dramas, Horror, Thrillers",1,"6 am - 10 am, 10 pm - 2 am",1,"Monday, Wednesday","2 pm - 6 pm, 6 pm - 10 pm",Virtually,10,3,1,4,0,0,1,3,1,Yes,0,Computer Science,Spotify,1,24,2,63
70949,4,15,0,1,200,,99999,5,"Anime, Documentaries, Sci-fi & Fantasy",1,10 am - 2 pm,1,"Tuesday, Thursday",I don't want tutoring support.,I don't want tutoring support,13,4,1,5,0,0,0,5,1,Yes,0,Continuing Education,Spotify,1,21,0,76
70949,2,5,2,1,454,6,94124,1,"Action & Adventure, Comedies, Romantic",2,"10 am - 2 pm, 2 pm - 6 pm",0,"Monday, Wednesday","10 am - 2 pm, 2 pm - 6 pm",In person,8,5,0,5,0,1,1,1,0,Unknown,0,"Automotive/Motorcycle, Construction, and Building Maintenance",Apple Music,1,20,0,59
70950,3,10,0,0,298,25,94133,3,"Comedies, Romantic, Sci-fi & Fantasy",0,"2 pm - 6 pm, 6 pm - 10 pm",1,"Monday, Friday","10 am - 2 pm, 6 pm - 10 pm",In person,7,1,0,4,0,1,1,4,0,No,0,Cognitive Science,Spotify,1,24,0,6
70949,4,10,1,0,221,25,94118,7,"Action & Adventure, Anime, Comedies",2,6 pm - 10 pm,1,"Tuesday, Thursday",10 am - 2 pm,In person,17,2,0,7,0,1,1,8,1,Ineligible,0,Data Science GRAD,Spotify,1,32,2,6
70949,4,20,1,1,294,16,94121,2,"Action & Adventure, Anime, Sci-fi & Fantasy",2,"2 pm - 6 pm, 10 pm - 2 am",1,"Monday, Wednesday",6 pm - 10 pm,In person,9,5,0,7,No,No,1,7,0,Yes,0,Mathematics GRAD,YouTube Music,1,19,2,74
70949,3,7,1,0,249,0,99999,1,"Anime, Documentaries, Dramas",2,"10 pm - 2 am, 2 am - 6 am",1,"Friday, Saturday","10 am - 2 pm, 2 pm - 6 pm",Virtually,9,1,999,4,No,No,1,3,1,No,0,Computer Science,Apple Music,1,999,1,6
70950,5,7,0,1,295,20,94102,9,"Action & Adventure, Comedies, Dramas",1,10 pm - 2 am,0,"Saturday, Sunday",10 pm - 2 am,Virtually,18,2,1,7,No,Yes,1,8,0,Yes,0,Continuing Education,Apple Music,1,41,0,72
70949,4,18,2,1,299,0,99999,1,"Action & Adventure, Anime, Sci-fi & Fantasy",2,10 pm - 2 am,1,"Thursday, Friday",6 pm - 10 pm,In person,9,5,0,5,No,Yes,1,5,0,Yes,1,Mathematics Grad,Spotify,1,19,2,69
70950,4,2,0,1,277,32,94102,5,"Comedies, Music, Romantic",2,"2 pm - 6 pm, 6 pm - 10 pm",2,"Wednesday, Thursday","2 pm - 6 pm, 6 pm - 10 pm",In person,7,1,1,1,No,No,0,8,0,Yes,0,Computer Science,Apple Music,1,20,0,67
70949,3,0,2,0,231,0,94112,5,"Action & Adventure, Dramas, Romantic",2,"10 am - 2 pm, 2 pm - 6 pm",1,"Wednesday, Friday","10 am - 2 pm, 2 pm - 6 pm",Virtually,10,2,0,2,No,Yes,1,3,0,Ineligible,0,Marketing,Spotify,1,21,2,151